#ID,INTERNALNAME,Name,Type,Appeal,Jamming,Effect,"description"
118,REVERSAL,Reversal,Cool,2,0,021,"The appeal works great if performed last."
119,SEISMICTOSS,Seismic Toss,Tough,2,1,006,"Startles the Pokemon that made a same-type appeal."
120,BULKUP,Bulk Up,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
121,DETECT,Detect,Cool,2,0,001,"Can avoid being startled by others once."
122,QUICKGUARD,Quick Guard,Cool,2,0,001,"Can avoid being startled by others once."
123,VCREATE,V-create,Beauty,6,0,010,"After this move, the user is more easily startled."
124,BLASTBURN,Blast Burn,Cool,4,4,005,"Badly startles those that have made appeals."
125,ERUPTION,Eruption,Beauty,1,0,006,"The appeal works better the later it is performed."
126,OVERHEAT,Overheat,Beauty,6,0,010,"After this move, the user is more easily startled."
127,BLUEFLARE,Blue Flare,Cool,3,4,005,"Badly startles those that have made appeals."
128,FIREBLAST,Fire Blast,Beauty,4,0,000,"A highly appealing move."
129,FLAREBLITZ,Flare Blitz,Smart,2,3,008,"Badly startles the Pokemon in front."
130,MAGMASTORM,Magma Storm,Tough,5,4,016,"Jams the others, and misses one turn of appeals."
131,FUSIONFLARE,Fusion Flare,Beauty,5,0,000,"A highly appealing move."
132,HEATWAVE,Heat Wave,Beauty,4,0,000,"A highly appealing move."
133,INFERNO,Inferno,Beauty,2,0,017,"Makes all Pokemon after the user nervous."
134,SACREDFIRE,Sacred Fire,Beauty,3,1,007,"Startles the Pokemon that has the judges attention."
135,SEARINGSHOT,Searing Shot,Tough,2,3,008,"Badly startles the Pokemon in front."
136,FLAMETHROWER,Flamethrower,Beauty,4,0,000,"A highly appealing move."
137,BLAZEKICK,Blaze Kick,Beauty,4,0,000,"A highly appealing move."
138,FIERYDANCE,Fiery Dance,Beauty,2,0,003,"The next appeal can be made earlier next turn."
139,LAVAPLUME,Lava Plume,Tough,2,0,014,"The appeal works great if performed first."
140,FIREPUNCH,Fire Punch,Beauty,4,0,000,"A highly appealing move."
141,FLAMEBURST,Flame Burst,Cool,4,0,000,"A highly appealing move."
142,FIREFANG,Fire Fang,Beauty,3,0,000,"A highly appealing move."
143,FLAMEWHEEL,Flame Wheel,Beauty,4,0,000,"A highly appealing move."
144,FIREPLEDGE,Fire Pledge,Tough,2,0,014,"The appeal works great if performed first."
145,FLAMECHARGE,Flame Charge,Beauty,2,0,003,"The next appeal can be made earlier next turn."
146,EMBER,Ember,Beauty,4,0,000,"A highly appealing move."
147,FIRESPIN,Fire Spin,Beauty,3,0,013,"Temporarily stops the crowd from growing excited."
148,INCINERATE,Incinerate,Beauty,2,0,014,"The appeal works great if performed first."
149,HEATCRASH,Heat Crash,Beauty,3,2,005,"Badly startles those that have made appeals."
150,SUNNYDAY,Sunny Day,Beauty,1,0,019,"The appeal works the best the more the crowd is excited."
151,WILLOWISP,Will-O-Wisp,Beauty,1,4,008,"Badly startles the Pokemon in front."
152,SKYATTACK,Sky Attack,Cool,3,0,029,"The appeal performs well if the last Pokemon's didn't."
153,BRAVEBIRD,Brave Bird,Cute,2,0,021,"The appeal works great if performed last."
154,HURRICANE,Hurricane,Cool,2,1,005,"Badly startles those that have made appeals."
155,AEROBLAST,Aeroblast,Cool,2,0,008,"Badly startles the Pokemon in front."
156,FLY,Fly,Smart,1,0,002,"Can avoid being startled by others."
157,BOUNCE,Bounce,Smart,1,0,002,"Can avoid being startled by others."
158,DRILLPECK,Drill Peck,Cool,4,0,000,"A highly appealing move."
159,AIRSLASH,Air Slash,Cool,2,0,014,"The appeal works great if performed first."
160,AERIALACE,Aerial Ace,Cool,2,0,014,"The appeal works great if performed first."
161,CHATTER,Chatter,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
162,PLUCK,Pluck,Cute,1,0,034,"Earns the same amount as the last appeal."
163,SKYDROP,Sky Drop,Cool,5,3,016,"Jams the others, and misses one turn of appeals."
164,WINGATTACK,Wing Attack,Cool,2,0,025,"Works well if its the same type as the one before."
165,ACROBATICS,Acrobatics,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
166,AIRCUTTER,Air Cutter,Cool,3,0,000,"An appealing move"
167,GUST,Gust,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
168,PECK,Peck,Cool,4,0,000,"A highly appealing move."
169,DEFOG,Defog,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
170,FEATHERDANCE,FeatherDance,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
171,MIRRORMOVE,Mirror Move,Smart,1,0,034,"Earns the same amount as the last appeal."
172,ROOST,Roost,Cool,1,0,034,"Earns the same amount as the last appeal."
173,TAILWIND,Tailwind,Smart,2,0,003,"The next appeal can be made earlier next turn."
174,SHADOWFORCE,Shadow Force,Smart,2,0,023,"It works better the later it is performed."
175,SHADOWBALL,Shadow Ball,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
176,SHADOWCLAW,Shadow Claw,Smart,2,0,014,"The appeal works great if performed first."
177,OMINOUSWIND,Ominous Wind,Smart,0,0,027,"User earns double the score in it's next appeal."
178,SHADOWPUNCH,Shadow Punch,Smart,2,0,014,"The appeal works great if performed first."
179,HEX,Hex,Smart,3,0,017,"Makes all Pokemon after the user nervous."
180,SHADOWSNEAK,Shadow Sneak,Smart,2,0,003,"The next appeal can be made earlier next turn."
181,ASTONISH,Astonish,Smart,2,3,008,"Badly startles the Pokemon in front."
182,LICK,Lick,Tough,1,4,008,"Badly startles the Pokemon in front."
183,NIGHTSHADE,Night Shade,Smart,2,1,032,"Startles the Pokemon who used the same move type."
184,CONFUSERAY,Confuse Ray,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
185,CURSE,Curse,Tough,3,0,026,"The next appeal can be made later next turn."
186,DESTINYBOND,Destiny Bond,Smart,8,0,018,"Makes a great appeal, but allows no more to the end.
187,GRUDGE,Grudge,Tough,1,0,023,"It works better the later it is performed."
188,NIGHTMARE,Nightmare,Smart,2,0,013,"Temporarily stops the crowd from growing excited."
189,SPITE,Spite,Tough,1,0,023,"It works better the later it is performed."
190,FRENZYPLANT,Frenzy Plant,Cool,2,1,005,"Startles the Pokemon that appealed before the user."
191,LEAFSTORM,Leaf Storm,Cool,2,2,005,"Startles the Pokemon that appealed before the user."
192,PETALDANCE,Petal Dance,Beauty,4,4,016,"Jams the others, and misses one turn of appeals."
193,POWERWHIP,Power Whip,Beauty,4,0,000,"A highly appealing move."
194,SEEDFLARE,Seed Flare,Smart,2,1,007,"Startles the Pokemon that has the judges attention."
195,SOLARBEAM,SolarBeam,Cool,4,0,000,"A highly appealing move."
196,WOODHAMMER,Wood Hammer,Tough,2,0,021,"The appeal works great if performed last."
197,LEAFBLADE,Leaf Blade,Cool,3,0,013,"Temporarily stops the crowd from growing excited."
198,ENERGYBALL,Energy Ball,Beauty,2,0,014,"The appeal works great if performed first."
199,SEEDBOMB,Seed Bomb,Smart,3,0,000,"No extra effect"
200,GIGADRAIN,Giga Drain,Smart,2,1,007,"Startles the Pokemon that has the judges attention."
201,HORNLEECH,Horn Leech,Smart,2,1,007,"Startles the Pokemon that has the judges attention."
202,LEAFTORNADO,Leaf Tornado,Smart,5,0,010,"After this move, the user is more easily startled."
203,MAGICALLEAF,Magical Leaf,Beauty,2,0,014,"The appeal works great if performed first."
204,NEEDLEARM,Needle Arm,Smart,1,4,008,"Badly startles the Pokemon in front."
205,RAZORLEAF,Razor Leaf,Cool,3,0,029,"The appeal performs well if the last Pokemon's didn't."
206,GRASSPLEDGE,Grass Pledge,Smart,3,0,002,"Can avoid being startled by others."
207,MEGADRAIN,Mega Drain,Smart,1,4,008,"Badly startles the Pokemon in front."
208,VINEWHIP,Vine Whip,Cool,3,0,000,"No extra effect"
209,BULLETSEED,Bullet Seed,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
210,ABSORB,Absorb,Smart,2,3,005,"Startles the Pokemon that appealed before the user."
211,GRASSKNOT,Grass Knot,Smart,2,0,036,"Increases if crowd excitement increases."
212,AROMATHERAPY,Aromatherapy,Smart,2,0,000,"No extra effect"
213,COTTONGUARD,Cotton Guard,Smart,2,0,002,"Can avoid being startled by others."
214,COTTONSPORE,Cotton Spore,Beauty,2,1,007,"Startles the Pokemon that has the judges attention."
215,GRASSWHISTLE,GrassWhistle,Smart,1,3,005,"Badly startles those that have made appeals."
216,INGRAIN,Ingrain,Smart,1,0,002,"Can avoid being startled by others."
217,LEECHSEED,Leech Seed,Smart,2,2,005,"Badly startles those that have made appeals."
218,SLEEPPOWDER,Sleep Powder,Smart,1,3,005,"Badly startles those that have made appeals."
219,SPORE,Spore,Beauty,1,3,005,"Badly startles those that have made appeals."
220,STUNSPORE,Stun Spore,Smart,2,1,012,"Badly startles all Pokemon that made good appeals."
221,SYNTHESIS,Synthesis,Beauty,1,0,020,"The appeals quality depends on its timing."
222,WORRYSEED,Worry Seed,Beauty,2,0,017,"Makes all Pokemon after the user nervous."
223,EARTHQUAKE,Earthquake,Tough,1,0,005,"Badly startles those that have made appeals."
224,EARTHPOWER,Earth Power,Smart,2,0,021,"The appeal works great if performed last."
225,DIG,Dig,Smart,1,0,002,"Can avoid being startled by others."
226,DRILLRUN,Drill Run,Tough,1,3,005,"Badly startles those that have made appeals."
227,BONECLUB,Bone Club,Tough,4,0,000,"A highly appealing move."
228,MUDBOMB,Mud Bomb,Smart,2,0,021,"The appeal works great if performed last."
229,BULLDOZE,Bulldoze,Tough,1,3,005,"Badly startles those that have made appeals."
230,MUDSHOT,Mud Shot,Tough,1,3,005,"Badly startles those that have made appeals."
231,BONEMERANG,Bonemerang,Tough,2,0,015,"Can be repeatedly used without boring the judge."
232,SANDTOMB,Sand Tomb,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
233,BONERUSH,Bone Rush,Tough,2,0,015,"Can be repeatedly used without boring the judge."
234,MUDSLAP,Mud-Slap,Cute,2,1,007,"Startles the Pokemon that has the judges attention."
235,FISSURE,Fissure,Tough,2,1,012,"Badly startles all Pokemon that made good appeals."
236,MAGNITUDE,Magnitude,Tough,1,0,033,"Does better based on crowd excitement."
237,MUDSPORT,Mud Sport,Cute,4,0,000,"A highly appealing move."
238,SANDATTACK,Sand-Attack,Cute,2,1,007,"Startles the Pokemon that have the judges attention."
239,SPIKES,Spikes,Smart,2,0,017,"Makes all Pokemon after the user nervous."
240,FREEZESHOCK,Freeze Shock,Cool,2,0,017,"Makes all Pokemon after the user nervous."
241,ICEBURN,Ice Burn,Cool,2,0,017,"Makes all Pokemon after the user nervous."
242,BLIZZARD,Blizzard,Beauty,4,0,000,"A highly appealing move."
243,ICEBEAM,Ice Beam,Beauty,2,1,032,"Startles the Pokemon who used the same move type."
244,ICICLECRASH,Icicle Crash,Cool,2,0,021,"The appeal works great if performed last."
245,ICEPUNCH,Ice Punch,Beauty,4,0,000,"A highly appealing move."
246,AURORABEAM,Aurora Beam,Beauty,2,1,007,"Startles the Pokemon that has the judges attention."
247,GLACIATE,Glaciate,Beauty,4,0,000,"A highly appealing move."
248,ICEFANG,Ice Fang,Cool,4,0,000,"A highly appealing move."
249,AVALANCHE,Avalanche,Cool,2,0,021,"The appeal works great if performed last."
250,ICYWIND,Icy Wind,Beauty,2,0,011,"The user will appeal later in the next turn."
251,FROSTBREATH,Frost Breath,Beauty,2,0,014,"The appeal works great if performed first."
252,ICESHARD,Ice Shard,Beauty,2,0,003,"The next appeal can be made earlier next turn."
253,POWDERSNOW,Powder Snow,Beauty,4,0,000,"A highly appealing move."
254,ICEBALL,Ice Ball,Beauty,2,1,032,"Startles the Pokemon who used the same move type."
255,ICICLESPEAR,Icicle Spear,Beauty,2,0,015,"Can be repeatedly used without boring the judge."
256,SHEERCOLD,Sheer Cold,Beauty,2,1,005,"Startles those that have made appeals."
257,HAIL,Hail,Beauty,1,3,005,"Badly startles those that have made appeals."
258,HAZE,Haze,Beauty,3,0,032,"Removes a star from Pokemon that have appealed already."
259,MIST,Mist,Beauty,1,0,002,"Can avoid being startled by others."
260,EXPLOSION,Explosion,Beauty,8,0,018,"Makes a great appeal, but allows no more to the end."
261,SELFDESTRUCT,Selfdestruct,Beauty,8,0,018,"Makes a great appeal, but allows no more to the end."
262,GIGAIMPACT,Giga Impact,Tough,,4,4,005,"Badly startles those that have made appeals."
263,HYPERBEAM,Hyper Beam,Cool,4,4,005,"Badly startles those that have made appeals."
264,LASTRESORT,Last Resort,Tough,8,0,018,"Makes a great appeal, but allows no more to the end."
265,DOUBLEEDGE,Double-Edge,Tough,6,0,010,"After this appeal, the user is more easily startled."
266,HEADCHARGE,Head Charge,Tough,6,0,010,"After this appeal, the user is more easily startled."
267,MEGAKICK,Mega Kick,Cool,2,0,021,"The appeal works great if performed last."
268,THRASH,Thrash,Tough,4,4,016,"Jams the others, and misses one turn of appeals."
269,EGGBOMB,Egg Bomb,Tough,4,0,000,"A highly appealing move."
270,JUDGMENT,Judgment,Smart,2,0,024,"Scrambles the order of appeals on the next turn."
271,SKULLBASH,Skull Bash,Tough,1,4,008,"Badly startles the Pokemon in front."
272,HYPERVOICE,Hyper Voice,Cool,1,3,005,"Badly startles those that have made appeals."
273,ROCKCLIMB,Rock Climb,Cool,2,0,021,"The appeal works great if performed last."
274,TAKEDOWN,Take Down,Tough,6,0,10,"After this move, the user is more easily startled."
275,UPROAR,Uproar,Cute,3,0,024,"Scrambles the order of appeals on the next turn."
276,BODYSLAM,Body Slam,Tough,1,4,008,"Badly startles the Pokemon in front."
277,TECHNOBLAST,Techno Blast,Tough,2,1,032,"Startles the Pokemon who used the same move type."
278,EXTREMESPEED,ExtremeSpeed,Cool,3,0,003,"The next appeal can be made earlier next turn."
279,HYPERFANG,Hyper Fang,Cool,2,0,021,"The appeal works great if performed last."
280,MEGAPUNCH,Mega Punch,Tough,2,0,021,"The appeal works great if performed last."
281,RAZORWIND,Razor Wind,Cool,3,0,029,"The appeal performs well if the last Pokemon's didn't."
282,SLAM,Slam,Tough,2,1,006,"Startles Pokemon that made the same type appeal."
283,STRENGTH,Strength,Tough,2,1,032,"Startles the Pokemon who used the same move type."
284,TRIATTACK,Tri Attack,Beauty,2,2,005,"Badly startles those that have made appeals."
285,CRUSHCLAW,Crush Claw,Cool,1,4,008,"Badly startles the Pokemon in front."
286,RELICSONG,Relic Song,Beauty,1,4,008,"Badly startles the Pokemon in front."
287,CHIPAWAY,Chip Away,Tough,1,4,008,"Badly startles the Pokemon in front."
288,DIZZYPUNCH,Dizzy Punch,Cool,1,4,008,"Badly startles the Pokemon in front."
289,FACADE,Facade,Cute,2,0,021,"The appeal works great if performed last."
290,HEADBUTT,Headbutt,Tough,2,3,005,"Startles the Pokemon that appealed before the user."
291,RETALIATE,Retaliate,Cool,1,4,021,"The appeal works great if performed last."
292,SECRETPOWER,Secret Power,Smart,1,0,035,"Success based on how many stars it has."
293,SLASH,Slash,Cool,3,0,009,"Affected by how well the appeal in front goes."
294,HORNATTACK,Horn Attack,Cool,4,0,000,"A highly appealing move."
295,STOMP,Stomp,Tough,1,4,008,"Badly startles the Pokemon in front."
296,COVET,Covet,Cute,1,0,030,"Earns half as much as the previous Pokemon's appeal."
297,ROUND,Round,Beauty,2,0,014,"The appeal works great if performed first."
298,SMELLINGSALT,SmellingSalt,Smart,2,3,008,"Badly startles the Pokemon in front."
299,SWIFT,Swift,Cool,2,0,014,"The appeal works great if performed first."
300,VICEGRIP,ViceGrip,Tough,4,0,000,"A highly appealing move."
301,CUT,Cut,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
302,STRUGGLE,Struggle,Tough,4,0,000,"A highly appealing move."
303,TACKLE,Tackle,Tough,4,0,000,"A highly appealing move."
304,WEATHERBALL,Weather Ball,Smart,4,0,000,"A highly appealing move."
305,ECHOEDVOICE,Echoed Voice,Cool,2,0,014,021,"The appeal works great if performed last."
306,FAKEOUT,Fake Out,Cute,2,1,006,"Startles Pokemon that made the same type appeal."
307,FALSESWIPE,False Swipe,Cool,1,3,005,"Badly startles those that have made appeals."
308,PAYDAY,Pay Day,Smart,3,0,015,"Can be repeatedly used without boring the judge."
309,POUND,Pound,Tough,4,0,000,"A highly appealing move."
310,QUICKATTACK,Quick Attack,Cool,3,0,003,"The next appeal can be made earlier next turn."
311,SCRATCH,Scratch,Tough,4,0,000,"A highly appealing move."
312,SNORE,Snore,Cute,4,0,000,"A highly appealing move."
313,DOUBLEHIT,Double Hit,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
314,FEINT,Feint,Beauty,4,0,038,"Works better the less the crowd is excited."
315,TAILSLAP,Tail Slap,Tough,3,0,012,"Badly startles all Pokemon that made good appeals."
316,RAGE,Rage,Cool,3,0,015,"Can be repeatedly used without boring the judge."
317,RAPIDSPIN,Rapid Spin,Cool,2,0,001,"Can avoid being startled by others once."
318,SPIKECANNON,Spike Cannon,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
319,COMETPUNCH,Comet Punch,Tough,2,0,015,"Can be repeatedly used without boring the judge."
320,FURYSWIPES,Fury Swipes,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
321,BARRAGE,Barrage,Tough,2,0,015,"Can be repeatedly used without boring the judge."
322,BIND,Bind,Tough,3,0,013,"Temporarily stops the crowd from growing excited."
323,DOUBLESLAP,DoubleSlap,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
324,FURYATTACK,Fury Attack,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
325,WRAP,Wrap,Tough,3,0,013,"Temporarily stops the crowd from growing excited."
326,CONSTRICT,Constrict,Tough,2,3,008,"Badly startles the Pokemon in front."
327,BIDE,Bide,Tough,1,0,002,"Can avoid being startled by others."
328,CRUSHGRIP,Crush Grip,Tough,2,0,021,"The appeal works great if performed last."
329,ENDEAVOR,Endeavor,Tough,2,0,021,"The appeal works great if performed last."
